"subject_id","condition","character","decision_speed","moral_score"
"l84dqpdfe6","immoral","Justin","quick",0.333333333333333
"l84dqpdfe6","immoral","Nate","slow",2
"lh3k75rwz2","moral","Justin","quick",5.66666666666667
"lh3k75rwz2","moral","Nate","slow",3.66666666666667
"lp0t38vgda","moral","Justin","quick",5.33333333333333
"lp0t38vgda","moral","Nate","slow",3.33333333333333
"meqr21va8c","moral","Justin","quick",6
"meqr21va8c","moral","Nate","slow",3
"mou2xf6y55","immoral","Justin","quick",1.33333333333333
"mou2xf6y55","immoral","Nate","slow",3.33333333333333
"mpwfzexacq","immoral","Justin","quick",0
"mpwfzexacq","immoral","Nate","slow",3.33333333333333
"nggmrf8urn","moral","Justin","quick",6
"nggmrf8urn","moral","Nate","slow",6
"nu5xrk7wg4","immoral","Justin","quick",2
"nu5xrk7wg4","immoral","Nate","slow",5
"ohn3y19jwj","moral","Justin","quick",6
"ohn3y19jwj","moral","Nate","slow",6
"oju6fm2aav","immoral","Justin","quick",3
"oju6fm2aav","immoral","Nate","slow",5.33333333333333
"os33cann5g","immoral","Justin","quick",2.33333333333333
"os33cann5g","immoral","Nate","slow",4
"p7oaa2n3yx","immoral","Justin","quick",2
"p7oaa2n3yx","immoral","Nate","slow",2.33333333333333
"pf922xuhoj","moral","Justin","quick",5.66666666666667
"pf922xuhoj","moral","Nate","slow",4.33333333333333
"pvt6ozhnta","moral","Justin","quick",6
"pvt6ozhnta","moral","Nate","slow",0
"pww392y3c1","moral","Justin","quick",5.33333333333333
"pww392y3c1","moral","Nate","slow",4
"q7lp988o03","moral","Justin","quick",4.33333333333333
"q7lp988o03","moral","Nate","slow",3.33333333333333
"r6h30yqq5j","immoral","Justin","quick",1.33333333333333
"r6h30yqq5j","immoral","Nate","slow",3
"ryfc01kmoc","moral","Justin","quick",6
"ryfc01kmoc","moral","Nate","slow",4
"sm8wmte8zx","immoral","Justin","quick",2.33333333333333
"sm8wmte8zx","immoral","Nate","slow",3.66666666666667
"t6b8ub7drw","moral","Justin","quick",5.33333333333333
"t6b8ub7drw","moral","Nate","slow",4
"tdsl2zs2d2","immoral","Justin","quick",0.666666666666667
"tdsl2zs2d2","immoral","Nate","slow",3.33333333333333
"teuvlr5orb","immoral","Justin","quick",1.33333333333333
"teuvlr5orb","immoral","Nate","slow",3.66666666666667
"tw1rsvndgg","moral","Justin","quick",5
"tw1rsvndgg","moral","Nate","slow",3.33333333333333
"ud4ablpjok","moral","Justin","quick",5.66666666666667
"ud4ablpjok","moral","Nate","slow",4
"v16yrnw2fd","immoral","Justin","quick",0.666666666666667
"v16yrnw2fd","immoral","Nate","slow",0.666666666666667
"v5gam55xq1","moral","Justin","quick",4
"v5gam55xq1","moral","Nate","slow",3.33333333333333
"ve28np6hlk","immoral","Justin","quick",1
"ve28np6hlk","immoral","Nate","slow",5
"vjnts38dcz","moral","Justin","quick",6
"vjnts38dcz","moral","Nate","slow",4.33333333333333
"vp7yafzk6l","moral","Justin","quick",6
"vp7yafzk6l","moral","Nate","slow",2
"x7bqfte5hs","moral","Justin","quick",6
"x7bqfte5hs","moral","Nate","slow",4.33333333333333
"xd718uhknb","immoral","Justin","quick",2
"xd718uhknb","immoral","Nate","slow",4
"xe0etv9n4b","moral","Justin","quick",5
"xe0etv9n4b","moral","Nate","slow",5
"xm08sbz61e","immoral","Justin","quick",2
"xm08sbz61e","immoral","Nate","slow",4
"xu3dq045nm","moral","Justin","quick",6
"xu3dq045nm","moral","Nate","slow",4
"xu9ytzqhze","immoral","Justin","quick",2.66666666666667
"xu9ytzqhze","immoral","Nate","slow",4
"xwbfcpytgb","moral","Justin","quick",5.66666666666667
"xwbfcpytgb","moral","Nate","slow",5
"y3y3ebr0m4","immoral","Justin","quick",2
"y3y3ebr0m4","immoral","Nate","slow",4.33333333333333
"y6jxjf7s5u","immoral","Justin","quick",3.33333333333333
"y6jxjf7s5u","immoral","Nate","slow",3.33333333333333
"yrvg2kjmwy","moral","Justin","quick",5
"yrvg2kjmwy","moral","Nate","slow",3.33333333333333
"yufs51nm56","immoral","Justin","quick",0
"yufs51nm56","immoral","Nate","slow",3.66666666666667
"ywdj8tj9z2","moral","Justin","quick",5.33333333333333
"ywdj8tj9z2","moral","Nate","slow",5.33333333333333
"zcbty4g8vk","immoral","Justin","quick",3.33333333333333
"zcbty4g8vk","immoral","Nate","slow",4
